ID,Status,Priority,Assignee,Start date,Finish date,Estimated time,Spent time (hrs),Progress (%)
5665,New,4,Person M,03/08/2022,03/08/2022,4,4,100
5666,New,4,Person M,03/08/2022,03/08/2022,4,4,100
5667,New,4,Person M,03/09/2022,03/09/2022,2,2,100
5668,New,4,Person M,03/10/2022,03/10/2022,4,4,100
5669,New,4,Person M,03/10/2022,03/10/2022,4,4,100
5670,New,4,Person M,03/11/2022,03/11/2022,4,4,100
5671,New,4,Person M,03/11/2022,03/11/2022,4,4,100
5672,New,4,Person M,03/14/2022,03/14/2022,4,4,100
5673,New,4,Person M,03/14/2022,03/14/2022,4,4,100
5674,New,4,Person M,03/15/2022,03/15/2022,8,8,100
5684,New,4,Person L,03/14/2022,03/14/2022,8,8,100
5701,New,4,,,,,0,0
5704,New,4,,,,,0,0
